Bright,ShpIndx,Mean_R,SD_NIR,Rect,Dens,NDVI,Mean_G_40,Compact_60,Dens_80,NDVI_80,BrdIndx_100,SD_G_100,Area_120,Round_120,class
243.74,1.43,252.62,4.43,0.9,2.17,-0.05,226.09,1.16,2.23,-0.05,1.31,9.91,1176,0.64,1
175.33,2.05,201.82,6.78,0.8,1.92,-0.11,161.9,2.11,1.86,-0.1,1.8,14.56,1943,1.57,1
200.53,3.32,208.44,8.22,0.57,1.04,-0.07,184.51,1.84,1.68,-0.07,1.85,16.55,1005,0.99,1
84.16,3.02,90.65,7.15,0.66,1.82,-0.15,62.18,2,1.84,-0.15,1.91,13.31,10272,0.62,0
49.89,1.79,40.14,7.09,0.84,1.35,0.21,71.91,2.17,1.49,0.2,1.57,26.41,529,1.18,6
230.71,2.52,252.64,7.07,0.89,1,-0.08,215.64,1.84,0.97,-0.07,1.57,10.06,4982,1.33,1
146.12,2.49,102.01,7.24,0.65,1.72,0.35,213.81,2.28,1.84,0.33,2.87,21.67,2870,1.63,4
124.98,2.98,88.61,13.66,0.62,1.76,0.36,174.19,2.83,1.43,0.31,4.19,44.51,4526,2,8
226.77,2.06,251.55,7.13,0.91,1.22,-0.1,204.75,1.42,1.23,-0.1,2.98,15.4,9515,1.7,1
71.58,2.82,75.54,8.99,0.73,1.77,-0.13,60.27,2.44,1.77,-0.12,4.86,19.22,8236,1.91,0
237.5,1.74,250.57,4.99,0.83,1.94,-0.08,203.15,6.57,1.13,-0.09,5.16,10.28,14351,3.18,8
148.7,3.73,106.93,10.96,0.57,1.3,0.33,213.41,2.78,1.84,0.33,2.35,24.6,2119,1.23,8
239.94,1.9,252.47,3.71,0.9,1.39,-0.08,215.3,5.25,1.14,-0.08,3.95,9.22,11871,2.67,3
236.16,2.38,238.42,11.52,0.69,1.66,-0.01,232.51,5.4,1.5,-0.06,4.36,12.31,9413,1.98,7
112.87,2.13,78.85,8.27,0.72,1.65,0.36,158.26,1.57,2.04,0.31,1.52,28.18,889,0.91,8
189.67,1.71,208.08,7.53,0.78,1.57,-0.12,164.41,1.63,1.67,-0.11,1.42,9.77,1074,1.05,1
236.75,1.97,252.82,3.29,0.86,2.05,-0.11,204.11,1.19,2,-0.11,1.81,11.81,5878,0.49,1
211.82,1.71,232.73,6.21,0.9,2,-0.11,185.81,1.2,1.97,-0.11,1.3,8.64,2713,0.69,1
144.61,1.96,139.63,7.61,0.78,1.75,0.06,161.67,2.18,2.12,0.06,3.25,17.37,10088,1.02,4
152.42,3.94,145.44,7.7,0.55,1.39,0.07,161.9,2.46,1.97,0.07,4.68,10.86,10556,1.85,4
45.19,1.81,41.36,7.24,0.87,2.13,0.06,48.75,1.64,2.15,0.09,1.49,29.04,1616,0.49,6
239.87,2.31,247.39,6.51,0.63,1.64,-0.05,222.2,2.23,1.69,-0.02,2.95,12.63,7472,1.62,7
233.21,3.43,237.35,11.24,0.56,1.61,-0.02,226.44,2.71,1.48,-0.01,3.82,18.09,7472,1.62,7
52.72,2.24,46.34,10.92,0.81,1.57,0.12,58.9,2.06,1.59,0.02,4.06,49.11,5108,1.79,6
128.57,2.58,99.93,9.81,0.6,1.3,0.26,153.31,2.63,1.57,0.23,3.05,30.13,2330,1.82,8
238.99,1.14,244.38,12.56,0.88,1.72,-0.04,226.18,1.18,1.72,-0.04,4.35,43.83,4741,1.51,2
236.92,1.57,240.53,16.42,0.88,1.84,-0.03,225.41,1.36,1.84,-0.03,1.12,41.72,136,0.22,2
73.77,1.56,76.44,10.6,0.92,1.58,-0.08,73.74,1.9,1.11,0.02,1.5,23.35,783,1.44,0
170.71,1.66,179.33,8.94,0.8,1.92,-0.34,88.25,2.04,2.03,-0.27,1.35,36.69,609,0.45,5
238.7,1.74,252.52,3.56,0.84,2.03,-0.09,210.94,1.64,2.03,-0.09,1.67,7.41,2391,0.46,1
122.09,2.69,84.91,10.55,0.69,1.73,0.36,175.7,2.8,1.63,0.34,4.12,22.99,3416,1.92,8
150.7,1.81,138.96,11.78,0.85,2.03,0.1,179.28,2.05,2,0.14,2.47,22.6,2295,1.61,4
160.74,3.06,153.09,8.06,0.61,1.61,0.07,178.23,2.38,1.84,0.06,4.34,17,7554,1.33,4
194.21,1.06,233.97,21.76,1,1.58,-0.11,187.25,1,1.18,-0.12,2.68,34.1,3398,1.47,2
236.68,1.11,244.78,13.58,0.9,1.81,-0.05,220.69,1.16,1.1,0.05,3.92,55.01,1638,2.06,2
162.5,1.94,165.32,19.43,0.7,1.6,-0.27,85.27,1.35,1.97,-0.28,1.41,32.69,386,0.71,5
239.83,1.53,248.32,8.71,0.89,1.6,-0.06,220.97,1.23,1.6,-0.06,1.3,16.73,5179,1.76,2
191.79,3.78,190.6,12.45,0.51,1.29,0.01,194.47,3.01,2.01,0,3.66,14.88,8687,1.79,7
140.87,1.96,101.52,8,0.84,1.87,0.33,197.46,1.94,1.66,0.31,1.44,15.99,998,1.57,4
235.54,1.34,252.4,3.99,0.83,2.25,-0.11,201.65,1.44,2.24,-0.1,1.36,10.73,1892,0.68,1
235.86,2.68,248.84,5.07,0.68,1.27,-0.09,209.47,1.97,1.67,-0.08,2.05,11.13,5970,1.06,3
235.8,3.4,242.86,8.36,0.44,1.4,-0.05,218.89,2.34,1.91,-0.04,2.41,8.8,1413,1.45,7
199.07,3.63,204.37,11.52,0.43,1.34,-0.04,186.82,1.99,1.74,-0.03,4.87,15.65,9605,2.47,7
235.24,3.1,249.76,5.93,0.54,1.7,-0.09,206.02,4.7,0.88,-0.08,3.6,9.8,13343,2.13,3
145.95,1.42,156.16,7.13,0.91,2.19,-0.12,122.62,1.61,2.2,-0.12,1.51,8.87,1514,0.62,1
108.13,1.46,100.19,17.46,0.87,1.91,-0.23,74.37,1.56,2.06,-0.1,4.08,40.16,2725,1.92,5
147.9,1.8,151.29,19.31,0.67,1.53,-0.26,100.73,1.67,1.79,-0.28,1.98,54.83,865,1.09,5
161.7,1.85,169.99,14.85,0.72,1.69,-0.3,88.14,1.57,1.9,-0.28,1.4,25.47,390,0.6,5
41.64,3.52,38.98,7.92,0.74,0.62,0,39.34,1.58,0.79,0.12,2.91,32.81,5681,2.33,6
244.74,1.35,252.61,4.22,0.83,2.22,-0.05,229.89,1.46,2.22,-0.05,1.29,8.46,2671,0.83,1
140.16,3.25,118.41,8.24,0.71,1.34,0.19,175.53,1.55,0.93,0.16,1.57,12.36,3529,1.35,4
72.45,2.38,73.96,16.32,0.62,1.07,-0.11,60.63,3.05,1.36,-0.05,2.44,39.84,1426,1.78,6
89.37,1.38,99.45,7.63,0.89,1.82,-0.13,76.3,1.3,1.82,-0.13,1.57,13.68,2050,1.45,1
155.24,1.7,159.49,21.07,0.64,1.58,-0.31,93.32,2.67,1.36,-0.26,2.41,45.84,1447,1.43,5
171.81,1.38,176.39,5.98,0.87,1.93,-0.33,103.32,1.15,2.03,-0.28,1.09,28.46,468,0.39,5
208.48,1.86,220.32,7.83,0.86,1.79,-0.09,185.3,2.33,2.2,-0.09,2.23,17.53,5741,0.64,1
218.14,2.32,230.28,7.34,0.84,1.78,-0.09,191.5,1.52,1.9,-0.08,2.92,16.49,4795,1.36,3
202.38,3.34,219.49,4.75,0.66,1.33,-0.15,161.64,6.5,1.9,-0.15,1.35,9.28,23061,0.45,1
51.42,1.7,45.96,5.85,0.84,1.88,0.1,59.28,1.48,2.21,0.12,1.53,23.71,626,0.59,6
234.95,1.58,252.17,3.19,0.89,1.93,-0.12,199.87,2.52,1.3,-0.11,1.96,6.56,7851,1.44,1
223.16,2.23,208.7,10.19,0.76,1.52,0.08,245.63,2.41,1.52,0.1,4.1,8.9,7503,2.07,7
82.16,3.02,85.53,5.66,0.61,1.38,-0.1,62.15,1.77,1.67,-0.12,4.53,19.35,9858,1.81,0
213.27,2.21,198.79,6.61,0.78,1.83,0.09,226.04,1.44,2.21,0.07,2.07,11.99,12236,1.75,4
183.84,2.52,170.5,7.6,0.59,1.23,0.09,220.02,3.99,0.69,0.1,3.29,15.04,7698,3.26,4
211.24,2.74,203.35,6.72,0.77,1.5,0.06,223.87,2.2,1.8,0.06,4.01,8.63,20424,1.39,7
222.09,3.42,233.49,4.95,0.63,1.58,-0.08,196.04,1.5,1.84,-0.08,1.75,11.87,23033,1.3,3
237.52,2.51,248.17,6.3,0.68,1.83,-0.06,217.21,2.6,1.47,-0.07,4.05,8.44,7846,2.24,7
239.85,1.7,246.48,7.83,0.79,1.9,-0.03,227.99,1.88,1.26,-0.03,4.06,16.48,3417,2.29,7
162.26,2.14,129.67,9.89,0.67,1.77,0.24,204.83,1.97,2.01,0.22,1.99,18.78,1263,1.22,4
138.7,2.7,137.45,19.26,0.22,0.91,-0.28,90.85,2.15,1.98,-0.28,1,33.43,459,0.16,5
209.79,1.64,212.1,21.15,0.73,1.37,0,204.27,2.13,0.98,-0.07,5.05,40.59,2599,2.52,2
40.09,2.13,32.21,5.63,0.9,2.18,0.2,52.3,1.88,1.93,0.16,2.73,11.42,2199,1.06,6
152.96,2.09,114.01,12.61,0.77,1.56,0.3,204.27,1.51,1.05,0.24,4.88,46.45,8826,2.43,4
148.16,2.52,117.38,7.71,0.83,1.54,0.25,190.08,2.81,1.41,0.24,2.31,16.27,6565,2.15,4
76.26,2.81,81.39,8.53,0.6,1.45,-0.12,59.67,2.89,1.13,-0.12,2.79,28.35,3783,1.63,0
145.91,2.22,99.96,7.35,0.81,1.98,0.37,213.59,2.57,1.45,0.3,3.45,27.6,5356,2.03,4
226.07,1.7,240.35,19.07,0.83,1.48,-0.09,200.68,1.34,1.52,-0.1,2.47,36.07,384,1.36,2
155.15,1.52,105.34,10.49,0.8,1.83,0.37,219.33,4.49,1.18,0.32,3.85,33.74,2826,2.22,4
92.9,2.34,97.55,7.72,0.79,1.63,-0.1,80.19,2.27,1.51,-0.09,3.17,23.89,8473,1.32,0
139.19,3.06,126.94,7.21,0.71,1.46,0.12,158.68,2.37,1.68,0.14,3.24,12.32,6898,1.21,4
153.48,2.59,160.07,6.24,0.72,1.64,-0.09,147.87,1.64,1.88,-0.08,1.77,15.49,2128,0.58,1
240.82,1.23,251.73,5.22,0.79,1.63,-0.07,216.35,1.44,0.49,-0.02,1.75,18.31,2701,1.29,3
161.74,1.93,128.94,5.47,0.82,1.65,0.24,216.11,4.06,1.56,0.25,4.36,21.9,4320,1.98,4
86.13,2.48,91.58,7.56,0.71,1.75,-0.11,72.8,2.3,1.5,-0.11,4.07,18.5,5324,1.68,0
139.67,2.03,123.96,6.69,0.7,1.64,0.15,172.2,1.32,1.94,0.16,2,14.44,5189,1.6,4
167.01,2.22,114.77,8.1,0.8,1.85,0.35,237.64,1.79,2.11,0.34,2.12,13.94,6020,0.53,4
209.75,1.16,251.4,4.84,0.92,2.01,-0.33,146.86,2.08,1.97,-0.27,2.7,63.51,1091,1.69,5
240.1,1.99,253.08,3.05,0.74,1.9,-0.08,213.49,5.03,1.09,-0.08,3.93,9.2,11701,2.68,3
153.14,1.83,118.19,16.83,0.83,1.55,0.27,198.8,2.79,1.56,0.23,3.6,28.75,2627,1.7,8
146.7,2.77,140.02,6.94,0.53,1.2,0.07,156.24,1.42,1.29,0.08,2.14,18.73,17041,1.33,4
243.57,2.63,252.13,4.57,0.51,1.36,-0.05,225.28,2.34,1.57,-0.05,3.34,11.69,1566,1.63,3
204.76,3.21,217.25,7.43,0.47,1.06,-0.1,180.26,5.05,1.07,-0.09,3.41,15.97,4157,2.6,3
205.87,1.66,212.41,35.85,0.79,1.43,-0.06,187,1.38,1.03,0.02,5,47.72,1012,2.66,2
236.7,1.11,246.7,6.08,0.86,1.32,-0.08,115.89,4.32,0.77,-0.06,2.56,52.4,236,2.23,2
153.18,2.3,108.9,8.49,0.77,1.87,0.34,215.66,3.2,1.18,0.3,3.9,19.25,2225,1.61,4
47.46,2.31,45.6,6.13,0.75,1.83,-0.02,50.55,2.08,1.84,0,2.23,36.43,1649,1.03,6
124.61,1.79,119.18,11.21,0.82,1.91,-0.29,67.39,1.35,1.9,-0.28,1.51,31.42,901,0.92,5
85.33,2.88,62.92,12.52,0.58,1.38,0.32,121.1,2.89,2.08,0.22,2.65,47.11,5327,1.62,8
74.29,1.65,74.67,8.97,0.83,1.97,-0.07,80.12,1.86,2.02,0.01,1.8,25.88,10373,2.26,6
150.01,1.99,105.78,9.94,0.71,1.6,0.34,211.6,4.88,1.46,0.3,4.52,22.54,8889,1.78,4
192.38,1.18,219.67,2.72,0.89,2.21,-0.36,107.77,1.68,1.89,-0.36,1.31,9.06,1333,1.26,5
221.83,2.23,232.95,6.93,0.73,1.98,-0.08,197.05,2.64,1.92,-0.07,2.69,8.91,8360,0.96,3
138.63,2.46,128.27,7.8,0.83,1.53,0.11,159.86,1.59,1.44,0.09,1.59,13.25,1524,0.87,4
202.32,3.58,204.84,12.43,0.55,0.72,-0.02,199.48,2.8,0.43,-0.02,3.19,16.3,3346,3.4,3
68.85,1.97,73.45,7.37,0.78,2.12,-0.15,54.52,2.41,1.4,-0.14,5.45,13.96,13822,2.49,0
63.67,2.53,67.2,7.17,0.78,1.78,-0.13,47.66,2.41,1.59,-0.09,5.36,17.84,13761,4,0
213.4,2.14,222.59,4.64,0.68,1.39,-0.07,197.47,1.99,1.84,-0.07,3.55,12.52,7905,2.63,3
100.77,2.37,105.32,7.69,0.67,1.6,-0.09,76.44,2.54,1.67,-0.08,5.25,33.3,2982,2.81,0
153.9,2.76,150.02,6.67,0.76,1.53,0.04,168.88,2.91,0.47,0.06,3.56,16.25,24010,1.9,7
37.67,2.04,37.66,7.1,0.8,1.9,-0.1,40.81,2.39,1.44,-0.01,4.03,31.7,7786,1.38,6
158.47,1.46,166.6,7.53,0.82,1.78,-0.33,78.51,1.57,1.9,-0.31,2,57.18,793,0.91,5
141.05,1.99,142.99,11.65,0.75,1.69,-0.3,65.4,2.07,1.5,-0.29,1.69,23.25,687,0.25,5
136.02,2.02,135.31,7.33,0.76,1.62,-0.31,65.49,1.14,2.09,-0.28,1.05,26.62,416,0.16,5
226.82,1.76,241.11,19.24,0.85,1.65,-0.08,207.43,4.83,1.24,0.02,2.85,43.09,2230,1.65,2
134.78,2.68,136.84,7.78,0.54,1.61,-0.02,132.89,1.91,1.86,-0.02,2.96,13.12,6536,1.43,1
197.25,2.68,207.75,5.58,0.76,1.29,-0.09,171.7,1.83,0.68,-0.07,2.18,17,9187,1.32,3
61.67,2.31,66.08,7.12,0.82,2.02,-0.15,52.22,1.78,2.14,-0.14,4.75,20.4,7009,1.88,0
221.09,2.08,233.79,8.04,0.81,1.8,-0.09,193.24,2.02,1.04,-0.08,2.15,11.86,7129,1.66,3
69.41,2.17,74.09,8.59,0.74,1.88,-0.14,54.07,2.2,1.83,-0.14,4.17,25.73,8069,2.03,0
244,2.07,252.79,3.22,0.9,2.3,-0.06,226.56,1.23,1.95,-0.05,1.69,13.17,9997,0.65,1
41.74,2.65,41.17,6.43,0.84,1.32,-0.1,33.73,1.15,1.1,-0.09,1.74,11.31,5476,1.47,6
50.06,1.65,48.59,8.82,0.85,2.11,-0.04,44.47,1.55,2.11,-0.04,1.62,8.16,3086,1.69,6
113.17,2.88,76.14,13.11,0.68,1.76,0.39,161.13,2.08,1.82,0.32,2.33,39.85,3168,1.04,8
178.45,2.03,172.26,10.16,0.82,1.49,0.06,196.85,2.24,1.15,-0.01,4.88,28.42,3247,3.49,4
145,1.15,168,19.68,0.86,1.37,-0.09,92.37,1.38,2.03,-0.11,1.35,45.55,222,0.63,2
118.06,1.5,79.63,10.89,0.81,1.45,0.38,169.71,1.23,1.19,0.19,3.35,56.79,2530,2.18,8
42.63,1.57,39.35,7.77,0.88,2.24,0.05,43.72,1.67,2.24,0.05,1.54,9.3,953,0.49,6
217.05,2.74,230.49,6.83,0.78,1.77,-0.1,187.76,2.83,1.66,-0.1,4.93,10.24,15556,2.71,3
231.11,1.57,247.84,8.81,0.88,1.58,-0.12,193.81,2.19,1.17,-0.11,1.69,11.87,2393,2.19,1
238.86,1.83,244.86,7.75,0.83,2,-0.04,223.23,4.47,0.99,-0.03,4.02,15.27,2978,2.59,7
131.57,1.91,94.97,16.17,0.79,1.7,0.33,179.84,2.31,1.2,0.18,4.01,49.76,1902,2.76,8
76.52,2.32,82.17,9.75,0.76,1.97,-0.15,61.36,2.4,1.45,-0.11,4.78,19.79,9333,2.12,0
214.75,2.91,226.77,7.06,0.68,1.59,-0.09,195.45,2.21,0.74,-0.08,2.19,15.85,13167,1.61,3
158.47,2.16,121.74,6.31,0.81,2.14,0.27,212.39,1.74,1.94,0.25,2.75,8.88,33625,1.04,4
148.61,3.08,103.21,9.75,0.63,1.48,0.36,211.21,2.25,1.46,0.31,4.8,32.19,5243,1.69,8
151.26,3.23,108.11,9.78,0.51,1.38,0.33,205.29,2.47,1.54,0.29,2.89,35.07,2451,1.44,8
234.03,1.6,246.05,11.83,0.75,1.4,-0.09,194.53,1.36,1.89,-0.1,1.22,52.05,154,0.65,2
215.19,2.02,216.28,9.72,0.78,1.79,-0.01,207.8,2.42,1.45,0.01,2.99,10.33,5125,1.59,7
164.13,3.09,152.03,6.96,0.61,1.55,0.1,180.45,2.01,1.83,0.11,3.12,29.68,5591,1.77,4
164.84,1.97,148.34,11.69,0.77,1.26,0.13,201.1,2.19,2.11,0.09,1.76,16.71,1243,1.28,4
232.84,2.52,247.24,5.1,0.82,1.5,-0.1,203.39,4.91,0.71,-0.09,5.28,10.18,12573,5.87,3
