BrdIndx,Area,SD_G,SD_R,Rect,GLCM3,ShpIndx_40,NDVI_40,Area_60,Mean_R_60,Mean_NIR_60,SD_G_80,GLCM3_80,SD_R_100,Bright_120,Compact_120,SD_NIR_120,NDVI_120,Round_140,Mean_G_140,class
1.79,203,14.03,13.18,0.67,2627.62,2.71,0.26,1581,119.45,135.69,17.34,1580.21,17.03,150.43,1.64,15.23,0.24,1.43,196.15,4
2,792,6.43,3.73,0.84,2772.6,2.61,-0.08,8518,250.03,250.12,9.65,1715.65,9.26,235.2,3.25,8.72,-0.08,1.68,209.97,3
3.54,429,7.52,7.29,0.58,2794.4,4.11,0.12,3267,159.57,163.6,14,1219.79,14.64,175.08,2.73,13.33,0.12,1.38,202.06,4
1.38,1078,7.17,3.78,0.9,3001.58,1.34,-0.05,1176,251.44,250.68,9.91,2097.55,6.4,242.74,1.16,7.87,-0.05,0.64,226.09,1
1.92,957,7.79,7.24,0.8,2880.27,2.05,-0.11,1943,206.61,167.12,14.56,1304.94,16.34,180.47,2.11,13.44,-0.1,1.57,167.68,1
2.74,316,7.5,8.4,0.57,3511.27,3.18,-0.07,915,196,199.77,16.55,1219.33,17.57,180.89,1.67,32.85,-0.07,0.99,164.19,1
2.94,642,7.06,7.08,0.66,2756.09,2.56,-0.15,5145,80.91,85.3,9.19,2028.15,14.3,80.39,1.36,15.79,-0.14,0.62,64.39,0
1.39,220,9.51,7.03,0.84,3269.51,1.74,0.2,529,47.6,55.24,26.41,1540.04,18.58,58.25,2.17,18.27,0.2,1.18,71.91,6
1.48,3084,7.04,3.65,0.89,2851,2.44,-0.08,4804,251.77,225.49,10.06,2197.01,5.55,230.79,2.14,12.08,-0.07,1.33,217.76,1
2.44,554,8.67,6.99,0.65,2153.61,2.21,0.36,1235,100.86,120.85,21.67,1024.24,18.47,147.97,2.32,16.8,0.33,1.63,211.33,4
2.89,288,15.77,13.45,0.62,2300.9,3.2,0.38,844,75.75,86.93,36.5,1009.96,32.67,123.1,3.39,32.69,0.31,2,174.15,8
1.4,1278,7.03,4.58,0.91,3145.16,2.06,-0.1,1278,251.55,224.01,15.4,1368.25,13.83,218.91,1.97,16.24,-0.08,1.7,199.03,1
2.66,998,8.51,8.88,0.73,3476.61,3.17,-0.12,2240,74.7,80.53,14.46,2083.22,16.37,68.8,2.21,18.82,-0.1,1.91,58.6,0
1.66,328,6.5,4.95,0.83,3312.05,2.72,-0.09,10373,244.29,244.6,10.21,1925.39,9.89,230.92,7.05,9.77,-0.09,3.18,204.17,8
3.2,373,13.31,10.07,0.57,2575.69,3.73,0.33,373,106.93,125.76,24.6,752.33,15.92,124.27,1.88,16.54,0.33,1.23,178.74,8
1.41,1046,6.2,3.72,0.9,3420.48,3.28,-0.08,8993,251.64,251.86,8.18,2090.04,5.56,240.5,4.75,5.26,-0.07,2.67,218.75,3
2.26,397,8.41,10.71,0.69,3241.68,2.99,-0.01,5689,246.47,247.34,12.31,1703.74,11.87,236.67,4.54,15.55,-0.06,1.98,219.42,7
1.96,144,11.45,9.01,0.72,2639.3,1.56,0.37,889,86.85,96.76,28.18,505.47,16.68,116.57,1.57,17.21,0.31,0.91,166.1,8
1.51,869,7.45,8.08,0.78,2768.26,1.71,-0.12,1074,204.47,193.51,9.77,1983.95,11.86,187.13,1.63,10.54,-0.11,1.05,163.41,1
1.87,3645,5.72,3.22,0.86,3634.8,2.1,-0.11,5697,251.42,251.45,8.87,2000.93,11.28,232.68,1.16,18.62,-0.11,0.49,200.28,1
1.55,2306,6.91,6.28,0.9,3081.92,1.71,-0.11,2546,233.75,218.08,8.64,2110.05,8.3,211.44,1.29,13.86,-0.1,0.69,189.14,1
1.83,183,7.98,7.32,0.78,3499,2.41,0.06,6231,145.63,145.48,13.96,1584.11,19.5,150.61,1.9,20.32,0.08,1.02,166.54,4
3.72,557,7.65,7.94,0.55,3096.14,3.98,0.07,1195,141.91,141.12,10.86,1634.55,11.1,141.59,3.03,12.55,0.08,1.85,156.18,4
1.72,663,9.06,7.43,0.87,2044.52,2.31,0.09,935,40.86,46.64,8.93,2270.08,22.14,58.68,1.34,21.2,0.14,0.49,67.58,6
2.23,224,6.67,6.04,0.63,3484.04,3.54,-0.03,985,237.15,235.91,12.63,1713.33,19.52,206.68,2.35,25.76,0,1.62,205.86,7
3.32,321,9.24,10.72,0.56,3997.33,3.43,-0.02,1114,220.67,219.44,14.36,2444.34,24.51,206.68,2.35,25.76,0,1.62,205.86,7
1.93,377,13.46,11.57,0.81,2031.68,2.26,0.1,558,48.29,57.34,20.24,1434.33,28.26,78.44,2.82,31.76,0.15,1.79,90.03,6
2.29,154,14.71,9.18,0.6,2233.77,4.11,0.24,1592,101.23,114.37,30.13,997.78,23.16,133.78,2.71,36.72,0.2,1.82,167.63,8
1.05,77,13.9,13.4,0.88,3183.48,1.14,-0.04,77,244.38,246.42,13.9,3183.48,46.05,162.9,3.45,42.6,-0.05,1.51,149.99,2
1.42,117,18.92,19.41,0.88,5490.02,1.57,-0.03,136,225.57,231.88,41.72,2846.3,43.1,222.81,1.36,37.41,-0.03,0.22,210.97,2
1.29,200,14.55,8.88,0.92,1583.05,1.7,-0.05,783,65.45,71.03,23.35,1618.99,23.82,67.98,1.9,22.99,0.02,1.44,67.47,0
1.58,153,7.22,11.63,0.8,3529.16,1.66,-0.34,348,198.16,245.12,36.69,1059.53,45.42,164.2,1.55,41.09,-0.27,0.45,99.22,5
1.67,1227,7.41,3.54,0.84,2511.18,1.74,-0.09,1227,252.52,252.63,7.41,2511.18,3.54,226.96,1.56,25.93,-0.08,0.46,202.65,1
2.51,482,13.2,10.51,0.69,2048.63,2.77,0.35,2345,89.34,105.4,22.99,1121.07,18.08,123.11,2.57,17.83,0.34,1.92,179.21,8
1.76,276,11.05,13.27,0.85,2674.75,2.68,0.14,1369,137.47,142.15,22.6,1191.05,22.91,146.17,1.97,20.89,0.14,1.61,173.58,4
2.98,437,7.39,8.6,0.61,3238.98,3.47,0.06,3991,163.18,162.87,15.9,1183.57,21.07,177.37,2.22,21.42,0.05,1.33,190.1,4
1,32,19.23,21.03,1,5148.05,1.06,-0.11,32,233.97,161.41,35.48,1292.59,40.31,102.89,1.66,38.32,-0.12,1.47,85.99,2
1,90,14.63,14.52,0.9,4252.8,1.11,-0.05,90,244.78,244.57,43.67,887.51,46.84,176.93,3.4,47.17,0,2.06,172.63,2
1.81,96,21.29,16.58,0.7,2285.75,2.03,-0.26,386,155.64,207.74,32.69,1992.63,47.06,150.12,1.35,51.62,-0.28,0.71,86.97,5
1.3,130,16.73,10.03,0.89,3353.84,1.53,-0.06,130,248.32,250.21,16.73,3353.84,10.03,176.94,2.07,23.48,0.05,1.76,187.81,2
3.43,494,10.94,12.35,0.51,3144.01,3.27,0.01,927,195.85,194.86,14.88,1765.36,21.07,195.61,2.51,21.01,0.01,1.79,197.75,7
1.74,365,10.3,7.19,0.84,1865.03,1.5,0.31,998,102.91,121.02,15.99,1538.51,12.14,140.47,1.94,12.96,0.31,1.57,197.46,4
1.32,1614,6.88,4.05,0.83,3346.02,1.31,-0.11,1626,252.19,252.24,10.73,2082.18,12.33,233.49,1.57,12.77,-0.1,0.68,203.34,1
2.26,847,6.17,5.08,0.68,3671.66,2.68,-0.09,5755,242.17,243.31,11.13,1356.71,9.49,230.11,1.89,9.15,-0.08,1.06,205.33,3
3.33,425,6.72,8.05,0.44,3716.49,2.43,-0.04,1413,236.85,236.4,8.8,2444.23,11.98,230.71,2.34,12.75,-0.04,1.45,218.89,7
3.46,310,10.85,10.71,0.43,3074.54,3.57,-0.03,2510,207.51,205.98,14.85,1646.27,19.63,195.24,4.66,20.47,-0.01,2.47,192.52,7
3.02,525,5.57,4.49,0.54,3659.72,3.78,-0.09,7172,242.68,243.28,9.39,2176.06,12.05,231.1,4.42,11.64,-0.08,2.13,205.64,3
1.38,1482,7.8,7,0.91,2596.2,1.53,-0.12,1514,156.17,159.14,8.87,2345.76,8.29,145.98,1.61,8.45,-0.12,0.62,122.62,1
1.38,98,20.32,14.09,0.87,1906.39,1.6,-0.1,244,90.35,125.7,34.99,2038.66,32.8,80.45,3.02,36.05,0.13,1.92,90.54,5
1.79,48,23.42,19.59,0.67,1912.78,1.39,-0.29,188,181.42,229.36,29.91,1426.83,53.03,188.19,1.7,46.82,-0.09,1.09,163.8,5
1.69,142,12.5,14.52,0.72,2173.98,1.52,-0.28,390,158.32,209.12,25.47,1858.15,24.36,151.86,1.57,29.01,-0.28,0.6,88.14,5
1.63,847,7.74,7.51,0.74,2671.24,3.52,0,1244,38.27,47.09,23.75,1125.06,27.18,60.7,4.11,26.92,0.07,2.33,63.11,6
1.34,2575,8.09,3.86,0.83,2633.05,1.3,-0.05,2671,252.5,252.16,8.46,2574.93,4.05,244.85,1.46,4.28,-0.05,0.83,229.89,1
2.58,424,8,8.04,0.71,2553.82,3.58,0.19,3529,128.73,137.15,12.36,1875.76,16.73,147.39,1.55,15.25,0.16,1.35,176.28,4
1.86,74,12.19,16.15,0.62,3562.18,2.9,0.07,957,61.16,72.24,39.84,1090.43,51.24,88.52,2.48,50.87,-0.05,1.78,79.73,6
1.23,972,8.02,7.92,0.89,2517.68,1.38,-0.13,972,99.45,92.36,8.02,2517.68,14.47,100.1,1.73,13.53,-0.12,1.45,86.56,1
1.53,73,10.63,17.34,0.64,3676.18,1.33,-0.31,245,175.3,217.81,30.01,2114.14,43.92,207.41,1.96,39.92,-0.09,1.43,181.47,5
1.3,199,9.18,12.17,0.87,2350.22,1.52,-0.28,468,178.9,233.17,28.46,1619.89,31.53,170.61,1.15,35,-0.28,0.39,99.76,5
1.64,211,5.84,7.03,0.86,3408.01,3.03,-0.1,1154,226.28,229.46,17.53,1225.14,22.2,207.12,1.33,26.7,-0.1,0.64,179.79,1
2.11,1950,7.72,6.92,0.84,2242.59,2.32,-0.09,3149,228.61,229.89,12.24,1269.38,15.66,211.25,2.34,27.85,-0.07,1.36,192.07,3
2.96,453,4.33,4.71,0.66,4176.31,2.64,-0.15,3241,223.83,229.82,9.28,1091.9,10.07,194.84,1.05,13.98,-0.15,0.45,156.47,1
1.65,160,7.43,5.84,0.84,2955.74,1.41,0.05,626,56.38,62.18,23.71,929.52,13.99,63.32,1.48,13.44,0.12,0.59,71.41,6
1.4,2585,6.54,3.59,0.89,2930.98,2.27,-0.11,7851,251.51,252.44,6.56,3078.47,4.72,234.59,2.52,4.18,-0.11,1.44,199.83,1
1.91,620,6.35,11.51,0.76,3098.48,2.1,0.09,2270,199.45,207.75,7.13,2651.14,18.02,210.22,2.83,14.25,0.12,2.07,241.25,7
2.68,332,5.8,5.64,0.61,3499.89,3.65,-0.12,1630,78.31,84.04,8.95,3390.01,20.91,69.31,2.47,22.47,-0.06,1.81,62.17,0
2.06,209,6.1,6.73,0.78,3907.04,3.23,0.07,4911,190.71,192.22,11.99,1407.07,15.75,207.6,2.56,14.11,0.07,1.75,226.94,4
2.15,123,9.48,8.29,0.59,2803.06,3.42,0.09,3928,176.99,180.76,16.69,1000.02,15.21,193.32,4.35,12.36,0.1,3.26,218.23,4
2.39,404,6.38,7,0.77,2966.85,2.75,0.05,3365,197.78,195.53,8.63,2012.03,11.86,197.91,2.34,15.06,0.09,1.39,222.98,7
3.2,461,4.9,4.93,0.63,4596.54,3.9,-0.08,9395,239.22,240.79,9.77,1542.11,10.57,226.65,1.63,11.6,-0.07,1.3,204.36,3
2.44,397,5.57,5.03,0.68,2466.27,3.06,-0.07,1855,249.24,247.28,11.89,1026.2,7.44,237.64,3.64,7.52,-0.08,2.24,214.51,7
1.69,300,5.82,7.45,0.79,2652.41,2.2,-0.03,836,241,236.93,16.48,1287.25,18.7,223.36,4.03,22.54,-0.03,2.29,214.66,7
2.06,298,11.43,9.48,0.67,2089.08,2.74,0.23,1263,139.19,155.71,18.78,1189.59,17.06,171.23,1.97,18.77,0.22,1.22,218.78,4
2.32,89,17.02,14.66,0.22,2862.66,2.65,-0.27,223,157.31,208.13,33.43,1654,48.58,119.66,1.05,50.98,-0.28,0.16,66.49,5
1.5,21,21.82,18.13,0.73,3897.95,2.31,-0.07,371,201.58,199.34,40.59,1838.37,38.05,196.81,4.94,37.8,-0.07,2.52,177.94,2
2.12,857,7.22,5.41,0.9,2223.79,2.47,0.22,2199,35.36,43.94,11.42,1553.3,8.12,42.77,1.88,8.13,0.16,1.06,49.01,6
1.76,423,16.04,15.67,0.77,2120.36,1.79,0.27,562,117.99,135.63,40.54,885.19,40.81,149.11,5.23,36.11,0.2,2.43,186.44,4
2.06,793,8.61,7.32,0.83,2071.6,2.91,0.24,1573,115.49,130.83,9.92,1813.4,11.79,149.28,2.74,12.2,0.26,2.15,197.62,4
2.59,245,7.43,9.14,0.6,3818.16,3.39,-0.12,1607,80.6,83.95,11.1,1734.46,25.25,70.07,2.1,24,-0.01,1.63,67.66,0
2.12,590,9.39,7.45,0.81,1851.93,1.97,0.36,2155,103.34,119.87,27.6,918.55,22.7,144.19,3.17,23.4,0.28,2.03,197.38,4
1.43,94,18.5,18.52,0.83,5131.82,1.7,-0.09,94,240.35,237.17,36.07,1916.96,38.83,176.95,2.66,37.99,-0.1,1.36,153.44,2
1.42,315,14.12,9.31,0.8,1375.44,3.18,0.33,2513,111.84,133.82,25.79,991.45,25.96,151.29,4,26.05,0.31,2.22,210.07,4
2.08,315,7.48,7.56,0.79,2862,2.87,-0.1,855,97.62,101.43,20.99,1405.75,25.83,75.23,2.16,25.29,-0.07,1.32,67.04,0
2.71,532,8.71,7.13,0.71,1985.1,3.64,0.12,1435,117.89,121.72,12.32,1278.47,13.02,143.48,2.11,11.72,0.14,1.21,169.13,4
2.42,281,6.51,6.71,0.72,3772.69,1.87,-0.08,1185,172.63,177.77,15.49,1416.6,16.91,153.24,1.4,21.01,-0.08,0.58,136.52,1
1.13,48,10.78,4.3,0.79,2553.71,2.38,-0.04,583,236.59,237.7,18.81,3848.86,32.58,222.5,2.13,31.14,-0.04,1.29,211.39,3
1.71,87,5.71,5.58,0.82,4086.7,2.83,0.23,1498,131.89,147.34,21.9,1032.03,20.44,158.88,3.2,22.4,0.25,1.98,208.77,4
2.28,976,7.25,7.3,0.71,3438.97,3.25,-0.11,1934,89.6,91.54,14.67,2153.35,21.45,88.86,2.75,21.21,-0.11,1.68,75.43,0
1.85,240,6.68,5.4,0.7,2666.52,1.52,0.17,2676,125.78,131.46,14.44,1356.04,16.57,144.46,2.24,31.93,0.17,1.6,175.81,4
2.08,569,7.74,7.16,0.8,2250.96,2.18,0.35,3034,115.52,146.74,13.94,766.2,9.45,161.95,1.8,10.93,0.34,0.53,229.95,4
1.09,116,21.52,5.7,0.92,1225.78,1.61,-0.26,222,228.78,243.27,44.04,797.46,59.04,155.84,2.59,55.21,-0.05,1.69,142.99,5
1.92,928,6.31,3.3,0.74,2620.8,2.73,-0.08,3281,252.47,252.36,9.2,1896.84,6.14,239.21,4.41,5.86,-0.08,2.68,213.36,3
1.57,81,21.86,16.8,0.83,1451.51,2.8,0.3,1516,125.77,137.18,30.98,639.7,29.93,149.58,2.47,26.15,0.2,1.7,187.42,8
2.57,193,6.3,9.68,0.53,2989.86,2.65,0.08,2268,133.75,135.48,10.89,1144.38,21,145.25,1.62,25.95,0.09,1.33,161.09,4
2.47,794,8.11,4.39,0.51,2590.33,3.46,-0.05,1566,250.23,251.6,11.69,2353.01,8,242.37,2.34,6.35,-0.05,1.63,225.28,3
2.95,1459,7.25,7.15,0.47,2916.01,3.24,-0.09,2579,219.92,220.64,15.97,1270.05,17.44,202.66,3.79,16.48,-0.09,2.6,178.61,3
1.44,61,36.4,37.45,0.79,4754.03,1.66,-0.06,61,212.41,218.2,47.72,1373.54,61.18,116.05,4.95,60.02,0.02,2.66,116.4,2
1,10,14.47,8.47,0.86,7992.61,3.42,-0.06,236,131.43,139.89,52.4,1884.27,50.8,129.07,4.32,49.74,-0.06,2.23,115.89,2
2.21,428,9.36,8.3,0.77,2110.9,4.52,0.3,2089,117.02,136.31,19.25,1446.08,17.43,152.54,3.01,21,0.3,1.61,210.64,4
2.22,299,6.23,6.34,0.75,3426.41,2.53,0.01,876,54.44,62.73,16.66,1431.95,20.75,70.69,1.82,20.8,0.1,1.03,77.31,6
1.71,218,9.92,10.75,0.82,2001.58,2.08,-0.3,577,138.02,202.45,24.15,1034.86,39.26,124.78,1.67,48.23,-0.24,0.92,75.9,5
2.75,233,19.08,14.78,0.58,2047.64,2.88,0.32,1352,86.8,95.05,39.59,799.87,32.81,84.25,2.15,34.32,0.09,1.62,92.56,8
1.61,230,8.03,8.96,0.83,2144.92,1.85,0.01,400,78.32,87.32,25.88,638.56,14.82,123.55,4.45,31.18,0.23,2.26,159.29,6
1.86,268,8.98,9.28,0.71,2485.15,2.28,0.33,3097,105.17,124.4,20.93,789.33,18.15,143.87,2.64,18.49,0.31,1.78,201.91,4
1.15,540,6.41,8.53,0.89,2457.82,1.2,-0.34,1333,233.61,252.69,9.06,1572.56,15.06,198.69,1.68,4.02,-0.36,1.26,109.77,5
2.18,915,6.53,6.85,0.73,3044.94,2.2,-0.08,1299,228.69,230.21,8.91,2270.42,12.05,230.14,2.05,10.53,-0.08,0.96,204.84,3
2.03,679,7.88,7.62,0.83,2672.04,2.05,0.11,1524,133.76,134.58,13.25,1758.74,14.07,143.24,1.59,13.5,0.09,0.87,161.39,4
2.24,551,10.11,12.78,0.55,2329.13,4.85,-0.02,1807,205.58,208.1,16.3,1212.64,19.99,211.05,6.14,18.78,-0.02,3.4,203.68,3
1.95,1294,7.18,7.27,0.78,3369.62,1.96,-0.15,3683,72.2,77.24,10,2286.28,15.3,72.61,4.45,15.31,-0.13,2.49,58.78,0
2.37,642,7.77,7.15,0.78,2705.22,4.06,-0.13,2753,59.42,63.77,17.86,1504.32,18.68,58.84,7.24,21.07,-0.06,4,53,0
1.82,142,6.86,5.16,0.68,2467.98,2.68,-0.05,4667,235.25,236.93,10.11,1188.72,14.25,222.77,3.31,14.88,-0.07,2.63,202.4,3
2.22,116,7.18,7.24,0.67,3160.26,3.66,-0.1,1418,97.45,101.93,21.39,1277.16,28.28,87.72,5.91,28.19,-0.02,2.81,83.21,0
2.42,688,6.98,7.08,0.76,1980.61,2.55,0.07,3436,147.27,146.64,14.67,964.4,16.33,151.69,2.83,16.32,0.06,1.9,165.34,7
1.83,356,6.78,6.95,0.8,3448.69,2.99,-0.01,976,41.72,48.47,13.99,1696.13,25.53,67.17,2.77,29.08,0.03,1.38,67.63,6
1.38,99,11.62,12.19,0.82,2185.18,1.46,-0.31,237,148.46,211.59,14.95,1857.84,43.03,173.76,1.91,46.46,-0.02,0.91,159.68,5
1.86,96,9.58,10.46,0.75,3625.68,2.26,-0.29,357,136.61,193.25,23.25,1571.87,35.9,102.69,1.08,53.25,-0.26,0.25,58.17,5
1.85,84,10.12,7.73,0.76,1752.11,1.4,-0.3,416,125.55,183.67,26.62,1420.72,35.06,126.67,1.14,43.01,-0.28,0.16,70.79,5
1.58,136,19.25,17.42,0.85,3378.75,5.79,-0.03,636,203.06,200.65,30.01,2331.61,42.21,166.3,1.86,40.82,0.01,1.65,167.58,2
2.61,258,7.36,7.86,0.54,2610.42,3.35,-0.03,2794,127.49,126.26,10.99,978.08,14.81,128.63,1.57,13.92,-0.02,1.43,125.65,1
2.07,251,6.08,5.55,0.76,3739.3,3.64,-0.08,4625,198.99,201.72,16.49,1087.36,17.36,191.7,2.05,19.37,-0.07,1.32,174.36,3
2.22,828,6.42,6.62,0.82,3798.05,2.74,-0.14,3020,70.51,74.33,11.76,2464.23,18.59,64.94,2.82,23.2,-0.07,1.88,57.31,0
1.9,520,7.07,7.37,0.81,3310.84,3,-0.09,2862,234.98,236.49,13.24,1289.66,15.3,219.63,1.96,15.04,-0.08,1.66,196.13,3
2.12,596,8.46,8.28,0.74,3689.64,2.61,-0.15,1406,73.38,78.29,11.34,2951.7,24.44,59.78,2.9,23.65,-0.03,2.03,55.27,0
2.03,3659,6.7,3.41,0.9,2765.73,2.05,-0.05,9581,251.29,251.35,11.51,1479.04,10.59,241.29,1.23,12.82,-0.05,0.65,224.37,1
1.97,1386,6.04,5.98,0.84,3602.82,2.15,-0.09,4700,40.66,49.02,7.09,2745.05,11.09,44.66,2.18,14.02,-0.08,1.47,37.66,6
1.62,602,8.16,8.97,0.85,2502.76,1.65,-0.04,602,48.59,57.11,8.16,2502.76,8.97,65.54,2.28,24.85,0.17,1.69,77.8,6
2.76,250,16.95,12.2,0.68,2421.81,2.26,0.39,1326,88.3,102.47,29.12,916.46,32.62,140.32,1.83,32.15,0.27,1.04,188.83,8
1.54,358,10.15,9.62,0.82,2126.26,2.69,0.06,491,174.24,172.62,22.05,1158.15,29.58,197.7,7,27.01,-0.02,3.49,193.49,4
1,12,20.02,22.62,0.86,6559.45,1.41,-0.11,222,115.94,102.95,45.55,1890.17,50.61,103.75,1.38,49.4,-0.11,0.63,92.37,2
1.26,216,21.07,10.37,0.81,1915.77,1.44,0.38,243,76.85,93.96,47.46,886.9,46.36,101.63,3.25,45.8,0.15,2.18,118.73,8
1.54,953,9.3,8.4,0.88,1851.18,1.57,0.05,953,39.35,44.81,9.3,1851.18,8.4,42.63,1.67,7.77,0.05,0.49,43.72,6
2.53,1042,6.67,6.93,0.78,3028.77,3.35,-0.1,3692,229.9,230.44,11.47,1677.53,10.38,219.72,4.79,10.74,-0.1,2.71,191.8,3
1.37,275,10.12,9.76,0.88,3760.31,2.37,-0.11,329,243.12,244.95,11.87,3825.8,15.14,190.26,2.89,39.13,-0.05,2.19,176.34,1
1.76,252,6.42,7.65,0.83,3185.49,2.28,-0.03,2664,230.45,231.24,13.22,1261.25,22.35,222.94,5.24,21.51,-0.02,2.59,215.38,7
1.7,178,16.63,15.93,0.79,2000.07,2.66,0.28,733,106.13,118.85,49.84,896.64,50,130.11,4.61,49.97,0.16,2.76,154.53,8
2.25,542,8.56,9.52,0.76,3521.62,3.84,-0.15,3035,86.06,90.92,18.05,1551.07,19.62,82.78,4.19,27.72,-0.09,2.12,71.88,0
2.72,462,6.74,7,0.68,3625.28,3.8,-0.08,6087,231.68,232.63,13.25,1551.36,15.16,213.58,2.69,14.92,-0.08,1.61,191.04,3
2.14,1038,6.01,6.63,0.81,3204.15,2.68,0.27,6079,122.82,141.39,7.95,1855.58,9.41,161.85,1.69,10.72,0.23,1.04,207.9,4
2.9,214,10.86,11.67,0.63,3530.24,3.02,0.39,677,93.55,113.12,30.02,772.52,22.92,120.71,2.97,22.02,0.34,1.69,174.84,8
3.03,212,12.93,9.61,0.51,3142.42,3.43,0.28,1676,106.2,124.72,35.07,683.06,22.71,141.99,1.92,27.23,0.29,1.44,194.08,8
1.43,39,15.48,12.95,0.75,6040.96,1.68,-0.09,154,182.88,188.92,52.05,2469.69,57.01,173.48,1.36,55.92,-0.1,0.65,148.64,2
1.92,141,6.82,9.12,0.78,3873.35,1.85,-0.01,1696,196.65,196.81,10.33,1922.79,13.42,186.66,2.85,18.91,0.06,1.59,201.48,7
2.97,252,7.22,7.33,0.61,3155.18,2.85,0.1,2190,151.97,157.41,26.6,833.48,33.43,176.1,2.61,33.52,0.06,1.77,190.04,4
1.57,216,9.99,12.77,0.77,2401.53,1.92,0.12,622,156.94,161.84,16.71,1580.72,26.53,184.7,1.38,24.49,0.09,1.28,206.77,4
2.12,836,5.85,5.35,0.82,3153.8,4.05,-0.1,6475,245.58,246.35,10.18,1794.23,7.62,231.99,15.27,7.84,-0.09,5.87,204.93,3
